id,predicted_answer,true_answer,is_correct,pred_confidence,confidence_gap,probs,paragraph,question,choices,answer,question_plus,confidence_gap_bin,prediction_result
generation-for-nlp-426,4,1,False,0.85966057,0.75815743,"[0.10150314122438431, 0.0164873655885458, 0.02234897017478943, 0.8596605658531189]","(가)은/는 의병계열과 애국계몽 운동 계열의 비밀결사가 모여 결성된 조직으로, 총사령 박상진을 중심으로 독립군 양성을 목적으로 하였다.",(가)에 대한 설명으로 옳지 않은 것은?,"['고려 문종 때에 남경(南京)으로 승격되었다.', '종루(鐘樓), 이현, 칠패 등에서 상업활동이 이루어졌다.', '정도전은 궁궐 전각(殿閣)과도성성문 등의 이름을 지었다.', '성곽은 거중기 등을 이용하여 약 2년 만에 완성되었다.']",1,,"[0.7, 0.8)",Incorrect
generation-for-nlp-427,1,4,False,0.5166683,0.26918954,"[0.5166683197021484, 0.06423970311880112, 0.17161326110363007, 0.24747876822948456]",나는 삼한(三韓) 산천의 음덕을 입어 대업을 이루었다.(가)는/은 수덕(水德)이 순조로워 우리나라 지맥의 뿌리가 되니 대업을 만대에 전할 땅이다. 왕은 춘하 추동네 계절의 중간달에 그곳에 가 100일 이상 머물러서 나라를 안녕케 하라. － 고려사－,(가) 지역에 대한 설명으로 옳은 것은?,"['이곳에 대장도감을 설치하여 재조대장경을 만들었다.', '지눌이 이곳에서 수선사 결사운동을 펼쳤다.', '망이 ․망소이가 이곳에서 봉기하였다.', '몽골이 이곳에 동녕부를 두었다.']",4,,"[0.2, 0.3)",Incorrect
generation-for-nlp-428,1,2,False,0.40032262,0.017716676,"[0.4003226161003113, 0.3826059401035309, 0.09144719690084457, 0.12562423944473267]","이 날 소정방이 부총관 김인문 등과 함께 기 벌포에 도착하여 백제 군사와 마주쳤다. …(중략) …소정방이 신라군이 늦게 왔다는 이유로 군문에서 신라 독군 김문영의 목을 베고자 하니, 그가 군사들 앞에 나아가 “황산 전투를 보지도 않고 늦게 온 것을 이유로 우리를 죄 주려 하는구나. 죄도 없이 치욕을 당할 수는 없으니, 결단코 먼저 당나라 군사와 결전을 한 후에 백제를 쳐야겠다.”라고 말하였다.",밑줄 친 ‘그’에 대한 설명으로 옳은 것은?,"['살수에서 수의 군대를 물리쳤다 .', '김춘추 의 신라 왕위 계승을 지원하였다 .', '청해진을 설치하고 해상 무역을 전개하였다 .', '대가야를 정벌하여 낙동강 유역을 확보하였다 .']",2,,"[0.0, 0.1)",Incorrect
generation-for-nlp-429,4,3,False,0.83336276,0.752617,"[0.054218925535678864, 0.031672582030296326, 0.08074575662612915, 0.8333627581596375]","선비들 수만 명이 대궐 앞에 모여 만 동묘와 서원을 다시 설립할 것을 청하니, (가)이/가 크게 노하여 한성부의 조례(皂隷)와 병졸로 하여 금 한 강 밖으로 몰아내게 하고 드디어 천여 곳의 서원을 철폐하고 그 토지를 몰수하여 관에 속하게 하였다.－대한계년사 －",(가) 인물이 추진한 정책으로 옳지 않은 것은?,"['사창제를 실시하였다 .', '대전회통을 편찬하였다 .', '비변사의 기능을 강화하였다 .', '통상 수교 거부 정책을 추진하였다 .']",3,,"[0.7, 0.8)",Incorrect
generation-for-nlp-431,3,3,True,0.81930786,0.7283468,"[0.014115857891738415, 0.07561517506837845, 0.8193078637123108, 0.0909610465168953]","(가)의 사신 고제덕 등이 일본에 와서 왕이 보낸 국서를 전하였다. 그 국서에 이르기를 “나(대무 예)는 큰 나라를 맡아 여러 주변국을 다스렸으며, 고구려의 옛 땅을 회복하였고 부여의 풍속을 이었다.”라고 하였다.",(가) 국가에 대한 설명으로 옳은 것은?,"['나 당연합군의 공격으로 멸망하였다 .', '9주 5소경의 지방 행정 구역을 두었다 .', '중앙 행정 기구로 3성 6부를 설치하였다 .', '고구려의 수도였던 평양을 서경으로 삼았다 .']",3,,"[0.7, 0.8)",Correct
generation-for-nlp-432,1,4,False,0.36016583,0.12112479,"[0.3601658344268799, 0.2390410453081131, 0.1814332902431488, 0.21935974061489105]",(가)신라의 한강 유역 확보 (나)관산성 전투(다) 백제의 웅진 천도 (라)고구려의 평양 천도,다음 사건을 시기 순으로 바르게 나열한 것은?,"['(가)→(라)→(나)→(다)', '(나)→(다)→(가)→(라)', '(다)→(나)→(가)→(라)', '(라)→(다)→(가)→(나) ']",4,,"[0.1, 0.2)",Incorrect
generation-for-nlp-433,4,3,False,0.558755,0.3790495,"[0.14284257590770721, 0.17970547080039978, 0.11869698762893677, 0.5587549805641174]","신돈이 (가)을/를 설치하자고 요청하자, …(중략)…이 제 도감이 설치되었다. …(중략)… 명령이 나가자 권세가 중에 전민을 빼앗은 자들이 그 주인에게 많이 돌려주었으며, 전국에서 기뻐하였다.－고려사－",(가)에 대한 설명으로 옳은 것은?,"['시 전의 물가를 감독하는 임무를 담당하였다 .', '국가재정의 출납과 회계 업무를 총괄하였다 .', '불법적으로 점유된 토지와 노비를 조사하였다 .', '부족한 녹봉을 보충하고자 관료에게 녹과 전을 지급하였다 .']",3,,"[0.3, 0.4)",Incorrect
generation-for-nlp-434,1,1,True,0.6742062,0.5409839,"[0.6742061972618103, 0.08563464879989624, 0.13322225213050842, 0.10693688690662384]",(가) 황제가 영원히 가시던 길에 엎드려 크게 통곡하던 우리는 …(중략) … 우리민족의 새로운 기백과 책동이 발발하기를 간절히 기대하는 바이다.－동아일보 1926년 6월 12일－,(가) 재위 기간에 있었던 사실이 아닌 것은?,"['일본은 동양척식 주식회사를 설립하였다.', '일본이 간도를 청에 귀속하는 협약을 체결하였다.', '유생의 병장 중심으로 13도 창의군을 결성하였다.', '대한제국의 외교권을 박탈하고 통감부를 설치하였다.']",1,,"[0.5, 0.6)",Correct
generation-for-nlp-436,2,3,False,0.9178935,0.8723598,"[0.010704594664275646, 0.9178935289382935, 0.02586815133690834, 0.045533739030361176]","(가)은/는 의병계열과 애국계몽 운동 계열의 비밀결사가 모여 결성된 조직으로, 총사령 박상진을 중심으로 독립군 양성을 목적으로 하였다.",(가)에 대한 설명으로 옳지 않은 것은?,"['공화제 국가 수립을 지향하였다.', '군자금을 모집하고 친일파를 공격하였다.', '북간도에서 무장독립단체인 중광단을 조직하였다.', '경상도 일대에서 결성되어 전국 조직으로 확대하였다.']",3,,"[0.8, 0.9)",Incorrect
generation-for-nlp-437,2,3,False,0.89474154,0.830588,"[0.009403827600181103, 0.8947415351867676, 0.03170116990804672, 0.0641535297036171]",1929년에 통학열차를 이용하던 한 일본인 학생이 한국인 여학생을 희롱한 사건이 일어났다. 이에 분노한 한국인 학생은 일본인 학생에 맞서 싸웠다. 이 때 일제 경찰은 일본인 학생 만두둔하고 나섰다. 광주의 학생들은 이에 대응해 시위를 벌였다. 일제의 차별정책에 맞서 일어난 이 운동은 전국으로 퍼졌고 곳곳에서 동맹휴학 투쟁이 연이어 벌어졌다.,밑줄 친 ‘이 운동’에 대한 설명으로 옳은 것은?,"['진주에서 조선형평사가 창설되는 결과로 이어졌다.', '조선민립대학 설립운동이 시작되는 배경이 되었다.', '신간회가 그 진상을 규명하고자 조사단을 현지에 파견하였다.', '비타협 적 민족주의자들이 조선 민흥회를 만들게 된 계기가 되었다.']",3,,"[0.8, 0.9)",Incorrect
