id,answer
generation-for-nlp-0,정
generation-for-nlp-1,정
generation-for-nlp-2,정
generation-for-nlp-3,정
generation-for-nlp-4,정
generation-for-nlp-5,정
generation-for-nlp-6,정
generation-for-nlp-7,정
generation-for-nlp-8,정
generation-for-nlp-9,정
generation-for-nlp-10,정
generation-for-nlp-11,정
generation-for-nlp-12,정
generation-for-nlp-13,정
generation-for-nlp-14,정
generation-for-nlp-15,정
generation-for-nlp-16,정
generation-for-nlp-17,정
generation-for-nlp-18,정
generation-for-nlp-19,정
generation-for-nlp-20,정
generation-for-nlp-21,정
generation-for-nlp-22,정
generation-for-nlp-23,정
generation-for-nlp-24,정
generation-for-nlp-25,정
generation-for-nlp-26,정
generation-for-nlp-27,정
generation-for-nlp-28,정
generation-for-nlp-29,정
generation-for-nlp-30,정
generation-for-nlp-31,정
generation-for-nlp-32,정
generation-for-nlp-33,정
generation-for-nlp-34,정
generation-for-nlp-35,정
generation-for-nlp-36,정
generation-for-nlp-37,정
generation-for-nlp-38,정
generation-for-nlp-39,정
generation-for-nlp-40,정
generation-for-nlp-41,정
generation-for-nlp-42,정
generation-for-nlp-43,정
generation-for-nlp-44,정
generation-for-nlp-45,정
generation-for-nlp-46,정
generation-for-nlp-47,정
generation-for-nlp-48,정
generation-for-nlp-49,정
generation-for-nlp-50,정
generation-for-nlp-51,정
generation-for-nlp-52,1
generation-for-nlp-53,정
generation-for-nlp-54,1
generation-for-nlp-55,정
generation-for-nlp-56,정
generation-for-nlp-57,정
generation-for-nlp-58,정
generation-for-nlp-59,정
generation-for-nlp-60,정
generation-for-nlp-61,정
generation-for-nlp-62,정
generation-for-nlp-63,정
generation-for-nlp-64,정
generation-for-nlp-65,정
generation-for-nlp-66,정
generation-for-nlp-67,정
generation-for-nlp-68,정
generation-for-nlp-69,정
generation-for-nlp-70,정
generation-for-nlp-71,정
generation-for-nlp-72,정
generation-for-nlp-73,정
generation-for-nlp-74,정
generation-for-nlp-75,정
generation-for-nlp-76,정
generation-for-nlp-77,정
generation-for-nlp-78,정
generation-for-nlp-79,정
generation-for-nlp-80,정
generation-for-nlp-81,정
generation-for-nlp-82,정
generation-for-nlp-83,정
generation-for-nlp-84,1
generation-for-nlp-85,정
generation-for-nlp-86,정
generation-for-nlp-87,정
generation-for-nlp-88,1
generation-for-nlp-89,1
generation-for-nlp-90,정
generation-for-nlp-91,3
generation-for-nlp-92,1
generation-for-nlp-93,1
generation-for-nlp-94,1
generation-for-nlp-95,1
generation-for-nlp-96,정
generation-for-nlp-97,1
generation-for-nlp-98,정
generation-for-nlp-99,정
generation-for-nlp-100,1
generation-for-nlp-101,1
generation-for-nlp-102,정
generation-for-nlp-103,1
generation-for-nlp-104,1
generation-for-nlp-105,1
generation-for-nlp-106,1
generation-for-nlp-107,1
generation-for-nlp-108,정
generation-for-nlp-109,정
generation-for-nlp-110,정
generation-for-nlp-111,정
generation-for-nlp-112,정
generation-for-nlp-113,정
generation-for-nlp-114,정
generation-for-nlp-115,1
generation-for-nlp-116,정
generation-for-nlp-117,정
generation-for-nlp-118,정
generation-for-nlp-119,정
generation-for-nlp-120,정
generation-for-nlp-121,정
generation-for-nlp-122,정
generation-for-nlp-123,정
generation-for-nlp-124,정
generation-for-nlp-125,정
generation-for-nlp-126,정
generation-for-nlp-127,정
generation-for-nlp-128,정
generation-for-nlp-129,정
generation-for-nlp-130,정
generation-for-nlp-131,정
generation-for-nlp-132,정
generation-for-nlp-133,정
generation-for-nlp-134,정
generation-for-nlp-135,정
generation-for-nlp-136,정
generation-for-nlp-137,정
generation-for-nlp-138,정
generation-for-nlp-139,정
generation-for-nlp-140,정
generation-for-nlp-141,정
generation-for-nlp-142,정
generation-for-nlp-143,1
generation-for-nlp-144,1
generation-for-nlp-145,1
generation-for-nlp-146,1
generation-for-nlp-147,정
generation-for-nlp-148,정
generation-for-nlp-149,정
generation-for-nlp-150,1
generation-for-nlp-151,정
generation-for-nlp-152,정
generation-for-nlp-153,1
generation-for-nlp-154,1
generation-for-nlp-155,1
generation-for-nlp-156,5
generation-for-nlp-157,1
generation-for-nlp-158,정
generation-for-nlp-159,1
generation-for-nlp-160,정
generation-for-nlp-161,정
generation-for-nlp-162,1
generation-for-nlp-163,정
generation-for-nlp-164,정
generation-for-nlp-165,정
generation-for-nlp-166,정
generation-for-nlp-167,정
generation-for-nlp-168,정
generation-for-nlp-169,정
generation-for-nlp-170,정
generation-for-nlp-171,정
generation-for-nlp-172,정
generation-for-nlp-173,정
generation-for-nlp-174,정
generation-for-nlp-175,정
generation-for-nlp-176,정
generation-for-nlp-177,정
generation-for-nlp-178,정
