id,predicted_answer,true_answer,is_correct,pred_confidence,confidence_gap,probs,paragraph,question,choices,answer,question_plus,confidence_gap_bin,prediction_result,category
generation-for-nlp-465,2,4,False,0.95502865,0.9274035,"[0.027625156566500664, 0.9550286531448364, 0.014443651773035526, 0.002902449108660221]",(가) 김시민이 진주성에서 일본군을 저지하였다.(나) 조선수군이 명량해전에서 크게 승리하였다.(다)이순신이 옥포해전에서 승리하였다.(라) 조명연합 수군이 노량해전에서 승리하였다.(마)조명연합군이 평양성을 탈환하였다.,임진왜란의 주요 사건을 시기 순으로 바르게 나열한 것은?,"['(가)→(다)→(마)→(라)→(나)', '(가)→(마)→(다)→(나)→(라)', '(다)→(가)→(나)→(마)→(라)', '(다)→(가)→(마)→(나)→(라)']",4,,"[0.9, 1.0)",Incorrect,kmmlu-한국사
generation-for-nlp-522,4,3,False,0.99938154,0.99877334,"[7.029813332337653e-06, 3.178063252562424e-06, 0.0006082218606024981, 0.9993815422058105]","플로렌스는 당신네들의 베니스보다 훨씬 아름답고 540년이나 더 유서 깊은 도시입니다. … 플로렌스 주변에는 귀족과 상인, 시민과 장인들이 소유한 3천 개의 영지가 있으며 여기에서 매년 나는 빵과 고기, 와인과 오일, 야채와 치즈, 건초와 나무는 현금으로 치면 9천 두카트에 달하지요. … 플로렌스가 주력으로 삼는 두 무역 거래는 베니스의 네 개 거래를 합한 것보다 규모가 더 큰데, 바로 양모와 실크입니다. … 아름다운 플로렌스의 도시 안에는 … 양모 길드에 속한 상점이 270개나 되며, 이곳의 물건이 로마와 마르셰로, 나폴리와 시칠리아로, 콘스탄티노플 … 그리고 터키 전역으로 뻗어 나갑니다. 실크 길드의 풍요롭고 화려한 창고도 83개에 달합니다. 베네데토 데이, ‘베네치아인에게 보내는 편지,’ 1472",이 글이 드러내는 르네상스 시대의 문화적 특징은 무엇입니까?,"['탁월한 용병술에 대한 자부심', '기사도', '시민 자부심', '예술 후원']",3,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-531,2,1,False,0.9999691,0.9999425,"[2.665575811988674e-05, 0.9999691247940063, 2.893953251259518e-06, 1.311435653406079e-06]","아래의 두 발췌문은 각각 탐험가 크리스토퍼 콜럼버스와 멕시코 치아파스의 도미니카 주교 바톨로뮤 데 라스 카사스가 쓴 것입니다.
본문 1
인디언들은 판매자가 요구하는 무엇이든 줄 것이다. . . . 그리하여 바보처럼 면화와 금을 활 조각, 유리, 병, 항아리와 물물교환했다. 나는 부당한 일이라고 금한 뒤 가져온 아름답고 좋은 물건을 주고 아무것도 돌려받지 않았다. 이들과 좀더 쉽게 어울리고 기독교인이 되도록 유도하며 왕과 왕비, 우리 왕자와 모든 스페인 사람들에게 호감을 표하도록 하고자 했다. 이들은 많이 가지고 있지만 우리에게 꼭 필요한 것들만을 찾아 모아 우리에게 전달하는 데 관심이 있다.
—크리스토퍼 콜럼버스: 라파엘 산체스에게 보낸 편지, 1493년
본문 2
이 온화한 양들에게 달린 일이었다. . . 스페인인들은 눈을 맞춘 첫 날부터 마치 맹렬한 늑대 혹은 며칠을 굶은 사자와 호랑이처럼 달려들었다. 처음부터 구성된 행동 패턴은 오늘날까지 변하지 않고 있으며 스페인인들은 여전히 원주민들을 잘게 찢고 살해해 말못할 고통과 괴로움, 절망을 안겨주며 고문하고 괴롭히며 무자비하게 박해하는 일만 반복하고 있다. 때가 되면 우리는 이들이 고문을 위해 발명해 개량한 수 많은 독창적인 방법 중 일부를 설명할 것이지만 피해자의 숫자 만으로도 얼마나 이들의 고문 방식이 효과적이었는지 알 수 있다. 스페인인들이 처음 도착했을 때 히스파니올라 섬의 원주민 인구는 약 3백만이었으나 지금은 200명만 살아남았다. 이토록 많은 수의 사람들을 죽이고 파괴한 이유는 그리스도교인들의 궁극의 목적이 금을 획득해 빠른 시간 안에 부를 획득해 자신들이 저지른 짓에 비추어 볼 때 말도 안되는 지위에 오르기 위함이었다.
–바톨로뮤 데 라스 카사스: 인디스 파괴에 대한 간략한 설명, 1542년",본문 2에서 데 라스 카사스가 가장 중요하다고 생각했을 법한 탐험의 동기는 무엇입니까?,"['원주민들을 기독교로 개종', '부의 축적', '개인적 영광', '새 친구 찾기']",1,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-537,3,2,False,0.9987424,0.9978595,"[0.0008829219150356948, 0.00017302398919127882, 0.998742401599884, 0.00020172493532299995]","“11. 현재의 과학이 효과의 발견에 쓸모가 없듯, 현재의 논리 체계도 과학의 발견에 쓸모가 없다. 19. 진실을 조사하고 발견하는 방법은 두 가지밖에 없다. 한 가지 방법은 감각과 개별적인 것에서부터 가장 일반적인 공리로 빠르게 나아가는 것으로, 이 공리를 원칙이자 명백한 진리로 삼아 중간 공리를 도출하고 발견한다. 이것이 현재 사용되는 방식이다. 다른 한 가지 방법은 감각과 개별적인 것을 바탕으로 가장 일반적인 공리에 도달할 때까지 지속적이고 꾸준한 일반화를 통해 공리를 구성하는 것으로 이것은 참이지만 사용되지 않는 방법이다. 22. 두 방법 모두 감각과 개별적인 것에서 출발해 가장 일반적인 원리로 끝난다. 36. 우리가 의견을 전달할 수 있는 방법은 단 하나다. 개별적인 것과 그것의 규칙적인 연속 및 질서에 주의를 기울여야 하며, 개념은 잠시 잊은 채 실제 사물을 알아가야 한다. 프란시스 베이컨, 영국 철학자이자 에세이스트, 노붐 오르가눔, 1620년",위 글에서 설명하고 있는 경험적 추론은 1800년대까지 어떠한 변화를 겪었습니까?,"['의미가 없어질 정도로 약화되었다.', '유럽 문화의 핵심 원칙이 되었다.', '그것을 처음 주창한 베이컨 같은 사상가들이 알아볼 수 없을 정도로 수많은 사람들에 의해 수정되고 정교화되었다.', '어느 순간 정체되어 일반 사람들은 삶의 새로운 조직 원칙을 찾기 시작했다. ']",2,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-539,3,2,False,0.98617804,0.9799408,"[0.0062372516840696335, 0.0014378975611180067, 0.9861780405044556, 0.006146868225187063]","450명의 병든 주민 중 200명은 살릴 수 없었으며, 우리는 그들이 길가에 누워 한 명씩 죽어가는 것을 지켜봐야 했습니다. 많은 사람들이 여전히 남아 있으며, 그들은 최소한의 빵 조각만을 받을 수 있었습니다. 우리는 빵을 주지 않으면 죽을 것 같은 사람들에게만 빵을 나눠줍니다. 주민들은 극단적 굶주림으로 인해 쥐를 사냥해 주식으로 먹습니다. 그들은 동물들이 먹지 않는 뿌리들을 집어 먹었습니다; 사실 제가 본 것들을 말로 표현할 수가 없습니다. . . . 이 이야기는 과장된 것이 아니라 오히려 그 사건의 공포를 축소해서 말한 것으로 이 구역에서의 고통의 백분의 일도 기록하지 않은 것입니다. 자신의 직접 목격하지 않은 사람들은 얼마나 비참한지를 상상할 수 없습니다. 두 지방에서 하루에도 최소한 200명의 여성이 죽었습니다. 우리는 소떼가 아닌 남자와 여자가 떼를 지어 랭스와 레텔 사이의 들판을 배회하며, 뿌리 몇 개를 찾기 위해 돼지처럼 흙을 파헤쳤습니다; 그리고 썪은 뿌리만을 발견할 수 있었으며, 그것들도 우리에게 충분하지 않았으며, 너무 기운이 없어서 음식을 찾을 힘이 남아있지 않았습니다. 우리가 동봉한 볼트의 주임신부의 편지에서 그는 굶주림으로 사망한 교인 3명을 땅에 묻었다고 얘기합니다. 나머지 사람들은 잘게 썬 지푸라기를 흙에 섞은 빵이라고 할 수 없는 음식을 만들어 먹으며 연명하였습니다. 그 곳의 다른 사람들은 달리 사람들을 도울 방법이 없던 성직자가 노회불에 병에 걸려 죽은 동물을 굽는 것을 허용한 동물의 사체를 먹으며 살았습니다. —노르망디 영지 보고서, 1651년",다음 중 위에 언급된 굶주림 문제를 종식하는 데 가장 큰 역할을 한 것은 무엇입니까?,"['17세기 유럽의 흑사병 종식', '17세기 농업혁명을 통한 휴경지 소멸', '사람들이 자신들의 노동에 대한 댓가를 받을 수 있도록 한 강력한 선대제도 구축', '유럽의 도시화에 따른 17세기의 인구 감소로 인한 식량 수확량 증가와 기아 감소']",2,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-545,1,3,False,0.9947015,0.9897792,"[0.9947015047073364, 0.00018363565322943032, 0.004922349471598864, 0.00019239640096202493]","1651년 12월 1일 이후 아시아, 아프리카 또는 아메리카에서 성장, 생산 또는 제조되어 나온 어떠한 상품이나 상품, 또는 위에 속하는 섬에서 나온 상품, 또는 이들 지역의 통상적인 지도나 카드에 기술되어 있거나 표시된 상품, 영국 식민지와 다른 식민지에서 생산된 상품은 영연방이나 아일랜드 또는 해당 연방에 속하거나 연방이 소유하고 있는 다른 땅, 섬, 식민지 또는 영토로 수입하거나 반입할 수 없으며, 다른 선박 또는 운반선에 실어서는 안됩니다. 그러나, 해당 연방의 국민이나 식민지에 속한 소유자 또는 권리 보유자로써, 그리고 선장과 선원 또한 해당 연방의 국민으로써 진정으로 기만 없이 소속된 배의 경우에만 가능하며, 선장과 선원에 대해서는 또한 이 법에 반하여 수입되는 모든 상품은 몰수 및 손실의 처벌을 받습니다. 유럽 또는 유럽에 속하는 곳에서 생장, 생산 또는 제조된 상품이나 물품은 1651년 12월 1일 이후 영연방이나 해당 연방에 속하거나 소유하고 있는 다른 땅이나 영토로 어떠한 선박, 운반선 및 운반 수단을 통해 수입되거나 반입될 수 없습니다. 그러나, 해당 연방의 국민에게 진정으로 기만 없이 소속된 선박 및 운반선의 경우만 가능하며, 오직 해당 국가 또는 장소의 사람들에게 진실하고 적절하게 속하는 외국의 선박과 운반선들을 예외로 두며, 그러한 상품 중에는 생장, 생산 또는 제조가 포함됩니다.",다음 중 1651년 영국 럼프 의회의 상기 법안이 가져온 소기의 결과는 무엇입니까?,"['영국의 식민지들이 유럽 본토의 경쟁국에서 제조한 값싼 제품들의 공세를 받는 것을 방지한 것', '영국 카리브해 식민지에서의 설탕 재배를 위한 노예에 대한 수요 증가를 충족하기 위해 포르투갈로부터 노예 무역의 지배권을 되찾은 것', '영국과 식민지들 사이의 상품을 비롯해 다른 국가에서 영국으로 오고가는 상품의 이동 능력을 제한함으로써 네덜란드의 해상 무역 지배를 종식시킨 것', '대서양 바다 무역을 비롯해 당시 프랑스인들이 지배하고 있던 대구와 포경업에서 프랑스를 배제한 것']",3,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-548,4,1,False,0.97814924,0.9696857,"[0.0071479505859315395, 0.008463537320494652, 0.0062392642721533775, 0.9781492352485657]","친애하는 내 벗에게, 자연은 매우 잔인하군요. 운동 법칙이라는 것이 우리 세상에서 어떻게 이렇게 무서운 재앙을 방생시킬 수 있는 지 상상조차 하기 힘듭니다. 우리 친구들은 수십만 마리의 개미가 마치 한 번에 개미집에서 짓밟히듯이 이 중 절반이 말로 다 할 수 없는 고통 속에 빠져나올 수 없는 잔해에 깔려 있습니다. 유럽 전역에서 가족들이 파멸에 빠졌고 우리 동포인 수 백의 사업가들의 재산이 리스본의 잔해에 묻혀버렸습니다. 인생 게임이란 얼마나 끔찍한 도박입니까! 종교재판소 궁전이 아직 있다면 설교자들은 무어라 말할까요? 저는 적어도 존경하는 종교 재판관님들은 다른 이들과 마찬가지로 뭉게졌을 것이라고 스스로를 칭찬합니다. 사람은 서로를 박해하지 말라고 가르쳐야 합니다. 일부 성자를 칭하는 악당들이 광신도를 불태우는 동안 지구는 우리 모두를 집어 삼켜버릴테니까요.",다음 계몽주의 철학자 중 이성에 대한 의존에 의문을 갖고 주어진 근거를 통해 낭만주의 운동을 시작한 사람은?,"['장 자크 로쏘, 사회가 고귀한 영혼을 타락시켰다고 믿었다.', '바론 몽테스키외, 정부가 공정해질 능력이 없다고 믿었다.', '메리 울스턴크래프트, 여성의 감정적인 복속에 반대했다.', '아담 스미스, 타인의 감정을 이해하는 데에 이성을 사용할 수 없다고 주장했다.']",1,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-552,1,4,False,0.9586034,0.91775787,"[0.9586033821105957, 0.04084554314613342, 0.00016574935580138117, 0.0003853398375213146]","이 순간부터 적이 공화국 땅에서 쫓겨나는 순간까지, 프랑스인 모두는 영구 징발되어 군에 복무한다. 젊은 남성은 전투에 나가야 한다. 기혼 남성은 무기와 운송수단을 제작해야 한다. 여자는 천막과 의복을 만들고 병원에서 봉사해야 한다. 아이들은 낡은 아마포를 보풀로 만들어야 한다. 노인들은 공공장소에 나와 전사의 용기를 일깨우고 왕들에 대한 증오와 공화국의 단결을 전파하여야 한다. … 공공안전위원회는 책임을 지고 프랑스 국민의 열정과 힘에 부응하는 모든 종류의 특별한 무기를 지체 없이 제조하기 위해 필요한 모든 조치를 취한다. 따라서 위원회는 이 작업 수행에 필요하다고 간주되어야 하는 모든 시설, 공장, 작업장, 공장을 설립하고 공화국 전 범위에서 성공에 기여할 수 있는 예술가와 작업자를 징발할 권한이 있다. 본법 집행을 위해 파견된 국민 대표는 각자의 지역에서 공공안전위원회와 협력 시 동일 권한을 갖고, 군대에 대한 국민 대표에게 부여된 무제한의 권한을 부여받는다. 국민개병, 1793년 8월 23일",다음 중 위 글이 근대 유럽의 전쟁 역사에서 전환점을 대표한다고 할 수 있는 이유는?,"['대규모 산업화로 생산된 무기의 도입을 의미하기 때문이다.', '국가의 적에 대한 완전 섬멸을 주장했다.', '위원회에 의해 진행된 전쟁이다.', '전면전을 옹호했다.']",4,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-564,4,1,False,0.9510047,0.9076654,"[0.04333930462598801, 0.0011805666144937277, 0.004475478082895279, 0.951004683971405]","""1500년 에라스무스가 도버에서 불행을 겪고 집필하여 마운트조이에게 헌정한 작품인 아다기오룸 콜렉타네아(Adagiorum Collectanea)가 나타났다. 고대 라틴어 작가로부터 발췌한 약 800개의 속담 모음집으로, 라틴어를 우아하게 쓰기고자 하는 사람들이 사용할 수 있도록 설명되어 있다. 헌정 시 에라스무스는 자기 스타일을 꾸미고 논증을 강화함에 있어 고대부터 귀하게 여겨진 문장을 충분히 공급하여 얻을 수 있는 이득을 지적했다. 독자에게 그러한 도움을 주고자 했다. 실제로 준 도움은 그 이상이었다. 고대의 정신을 통해 이전 인문주의자가 도달했던 것보다 훨씬 더 넓은 범위도 잘 알게 되었다. 지금까지 인문주의자는 다수에게 여전히 부족한 지식을 자랑하고 배움과 우아함의 이상한 천재가 되고자 고전 문화의 보물을 다소 독점해 왔다. 막을 수 없는 가르침에 대한 요구와 인류와 일반 문화에 대한 진실한 사랑으로 에라스무스는 16세기 기독교인의 영혼에 반영될 수 있는 최대한의 고전 정신을 사람들에게 소개했다. 혼자 해낸 것은 아니나, 더 넓은 범위에 효과적으로 해낸 사람은 없다. 물론 라틴어로 저술함으로써 모든 사람에게 전파하지는 못했으며 당시 교육받은 상류층에만 직접적인 영향을 미쳤다. 에라스무스는 고전 정신을 현재로 가져왔다. 인본주의는 더는 소수의 전유물이 아니었다. 베아투스 르헤나누스에 따르면 그는 아다지아를 출판하려 할 때 일부 인본주의자들로부터 그들 기술의 신비를 폭로했다는 이유로 비난받았다. 그러나 그는 고전 책이 모든 이에게 공개되기를 원했다.""",이 구절에서 에라스무스의 인본주의 유형과 가장 유사한 남부 르네상스 운동은?,"['신플라톤주의', '반삼위일체론', '경건주의', '이성주의']",1,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
generation-for-nlp-565,1,4,False,0.96990407,0.9490885,"[0.9699040651321411, 0.02081557735800743, 0.004163226578384638, 0.0051172045059502125]","""중국 황제 폐하께서는 영국 백성이 가족 및 시설과 함께 상업을 수행할 목적으로 박해나 제한 없이 광저우, 아모이, 푸초푸, 닝포, 상하이 도시와 마을에 거주하는 것을 허용한다는 데 동의한다. 영국 여왕 폐하와 영국은 위 언급된 각 도시나 마을에 거주할 감독 또는 영사를 임명하여 중국 당국과 상기 상인과의 의사소통 수단으로 삼고 이후 규정된 중국 정부의 정당한 의무와 기타 책무가 영국 여왕 폐하의 백성에게 적절히 이행되는지 확인한다."" 1839년 난징조약",이 조약의 시발점은 무엇이었습니까?,"['의화단 운동', '중국과 식민지 인도 사이의 조약', '영국 곡물법 철폐', '영국이 중국인에게 아편 무역 참여 강요']",4,,"[0.9, 1.0)",Incorrect,mmmlu-european_history
